"","participant","univ","vote","confident","comment","id","question"
"724","raj chetty","Stanford","Did Not Answer","","",12,2
"725","judith chevalier","Yale","Strongly Disagree","10","Although what was presented is not in any way a fully-formed ""plan"".<br>",12,2
"726","david cutler","Harvard","Strongly Disagree","10","",12,2
"727","angus deaton","Princeton","Strongly Disagree","9","",12,2
"728","darrell duffie","Stanford","Strongly Disagree","2","",12,2
"729","aaron edlin","Berkeley","Strongly Disagree","9","",12,2
"730","barry eichengreen","Berkeley","Strongly Disagree","10","",12,2
"731","liran einav","Stanford","Disagree","3","",12,2
"732","ray fair","Yale","Strongly Disagree","8","",12,2
"733","amy finkelstein","MIT","Strongly Disagree","8","",12,2
"734","pinelopi goldberg","Yale","Did Not Answer","","",12,2
"735","austan goolsbee","Chicago","Strongly Disagree","10","No, but it would put us in the running for a national Darwin award<br>",12,2
"736","michael greenstone","Chicago","Strongly Disagree","8","it wasn't a fleshed out plan, but based on what was announced the probability that it will increase the deficit is very high.<br>",12,2
"737","robert hall","Stanford","Did Not Answer","","",12,2
"738","oliver hart","Harvard","Strongly Disagree","8","We do not have the details of the plan but it is very implausible that it would pay for itself.<br>",12,2
"739","bengt holmstrom","MIT","Strongly Agree","7","Panelist meant to Strongly Disagree (question misread). There¡¯s no detailed plan. We¡¯ll never see the counterfactual. This is my best guess.<br>",12,2
"740","caroline hoxby","Stanford","Did Not Answer","","",12,2
"741","hilary hoynes","Berkeley","Strongly Disagree","10","",12,2
"742","kenneth judd","Stanford","Strongly Agree","10","Panelist meant to Strongly Disagree (question misread). Removing state tax deduction will raise education tax burdens. That will hurt growth<br>",12,2
"743","steven kaplan","Chicago","Disagree","6","That said, I would be surprised if the plan passed as currently configured.<br>",12,2
"744","anil kashyap","Chicago","Strongly Disagree","9","see Larry Summers on this<br><a href=""https://twitter.com/LHSummers/status/857764470193606656"" target=""_blank-see background information here</a><br>",12,2
"745","pete klenow","Stanford","Disagree","5","",12,2
"746","jonathan levin","Stanford","Disagree","3","",12,2
"747","eric maskin","Harvard","Disagree","7","",12,2
"748","william nordhaus","Yale","Strongly Disagree","9","Since economy is close to full employment, and impact on potential output modest, only a prayer.<br>",12,2
"749","emmanuel saez","Berkeley","Strongly Disagree","10","",12,2
"750","larry samuelson","Yale","Strongly Disagree","8","",12,2
"751","jose scheinkman","Princeton","Disagree","7","",12,2
"752","richard schmalensee","MIT","Strongly Disagree","4","",12,2
"753","carl shapiro","Berkeley","Strongly Disagree","10","",12,2
"754","robert shimer","Chicago","Did Not Answer","","",12,2
"755","richard thaler","Chicago","Strongly Disagree","3","Of course there is no actual plan but the vague outline is a great deficit stimulus. <br>",12,2
"756","christopher udry","Yale","Strongly Disagree","8","",12,2
"757","daron acemoglu","MIT","Disagree","6","Replacing the sales tax with a value-added tax would be a good idea. This is less clear, but no major effect deficit.<br>",13,1
"758","alberto alesina","Harvard","Did Not Answer","","",13,1
"759","joseph altonji","Yale","Disagree","2","<a href=""https://taxfoundation.org/understanding-house-gop-border-adjustment/"" target=""_blank-see background information here</a><br>",13,1
"760","alan auerbach","Berkeley","Disagree","7","",13,1
"761","david autor","MIT","Agree","5","I'm reasonably persuaded by Auerbach and Holtz-Eakin, but I'm not certain that U.S. currency will fall one-for-one with the border tax<br>",13,1
"762","katherine baicker","Chicago","Did Not Answer","","",13,1
"763","abhijit banerjee","MIT","Did Not Answer","","",13,1
"764","marianne bertrand","Chicago","Uncertain","4","",13,1
"765","markus brunnermeier","Princeton","Uncertain","7","Only in the short-run possibly. In the long-run, dollar appreciation will reduce the advantage of US exporters. <br>",13,1
"766","raj chetty","Stanford","Did Not Answer","","",13,1
"767","judith chevalier","Yale","Disagree","4","I understand the exchange rate argument but am not certain of a full offset. <br><a href=""http://conversableeconomist.blogspot.com/2017/01/border-adjustments-tariffs-vat-and.html"" target=""_blank-see background information here</a><br>",13,1
"768","david cutler","Harvard","Uncertain","4","",13,1
"769","angus deaton","Princeton","Disagree","5","",13,1
"770","darrell duffie","Stanford","Agree","3","I am assuming that trade retaliation and changes in foreign exchange prices are not big enough within three years to overcome the effect.<br>",13,1
"771","aaron edlin","Berkeley","Did Not Answer","","",13,1
"772","barry eichengreen","Berkeley","Uncertain","10","Would depend on the reaction of other variables affecting investment &amp; saving, starting with the exchange rate.<br>",13,1
"773","liran einav","Stanford","No Opinion","","",13,1
"774","ray fair","Yale","Uncertain","3","",13,1
"775","amy finkelstein","MIT","Uncertain","9","",13,1
"776","pinelopi goldberg","Yale","Disagree","8","",13,1
"777","austan goolsbee","Chicago","Strongly Disagree","7","It's just like a VAT. Countries with VATs do not get a trade advantage. Consumers pay same rate on import/domestic. Exch rates offset/adjust<br>",13,1
"778","michael greenstone","Chicago","Did Not Answer","","",13,1
"779","robert hall","Stanford","Did Not Answer","","",13,1
"780","oliver hart","Harvard","Uncertain","5","I don't know what the effects of a destination based tax would be or whether it would improve matters. I would prefer a consumption tax.<br>",13,1
"781","bengt holmstrom","MIT","No Opinion","","",13,1
"782","caroline hoxby","Stanford","Did Not Answer","","",13,1
"783","hilary hoynes","Berkeley","Uncertain","8","",13,1
"784","kenneth judd","Stanford","Disagree","7","The impact will not be ""substantial"". Trade deficit implies capital surplus; what is bad about that?<br>",13,1
"785","steven kaplan","Chicago","Uncertain","1","",13,1
"786","anil kashyap","Chicago","Agree","3","Currency offset is unlikely to be one for one, so some trade effects are likely. Magnitude would depend on the size of the tax. <br>",13,1
"787","pete klenow","Stanford","Disagree","4","<a href=""http://eml.berkeley.edu/~auerbach/Borderadjustmentandthedollar.pdf"" target=""_blank-see background information here</a><br>",13,1
"788","jonathan levin","Stanford","Uncertain","2","",13,1
"789","eric maskin","Harvard","Did Not Answer","","",13,1
"790","william nordhaus","Yale","Agree","4","Substantially needs defining, but because unlikely full ex rate adjustment, not negligible effect.<br>",13,1
"791","emmanuel saez","Berkeley","Uncertain","7","",13,1
"792","larry samuelson","Yale","Uncertain","1","There are too many unknowns, including the reactions of other countries, to have any confidence that this would reduce the deficit.<br>",13,1
"793","jose scheinkman","Princeton","Did Not Answer","","",13,1
"794","richard schmalensee","MIT","Disagree","3","",13,1
"795","carl shapiro","Berkeley","Did Not Answer","","",13,1
"796","robert shimer","Chicago","Disagree","1","",13,1
"797","richard thaler","Chicago","No Opinion","","",13,1
"798","christopher udry","Yale","Strongly Disagree","3","Should have only second order effects. Imperfect exchange rate adjustment may cause more real impact, but ""substantial"" not plausible.<br>",13,1
"799","daron acemoglu","MIT","Disagree","3","",13,2
"800","alberto alesina","Harvard","Did Not Answer","","",13,2
"801","joseph altonji","Yale","Disagree","2","<a href=""https://taxfoundation.org/understanding-house-gop-border-adjustment/"" target=""_blank-see background information here</a><br>",13,2
"802","alan auerbach","Berkeley","Disagree","7","",13,2
"803","david autor","MIT","Agree","5","If dollar does not lose value to fully offset tax, then yes, consumer prices will rise. <br>",13,2
"804","katherine baicker","Chicago","Did Not Answer","","",13,2
"805","abhijit banerjee","MIT","Did Not Answer","","",13,2
"806","marianne bertrand","Chicago","Uncertain","4","",13,2
"807","markus brunnermeier","Princeton","Agree","8","",13,2
"808","raj chetty","Stanford","Did Not Answer","","",13,2
"809","judith chevalier","Yale","Uncertain","3","",13,2
"810","david cutler","Harvard","Agree","4","",13,2
"811","angus deaton","Princeton","Disagree","5","",13,2
"812","darrell duffie","Stanford","Agree","2","",13,2
"813","aaron edlin","Berkeley","Did Not Answer","","",13,2
"814","barry eichengreen","Berkeley","Uncertain","10","Would depend on the reaction of other variables, starting with the exchange rate.<br>",13,2
"815","liran einav","Stanford","No Opinion","","",13,2
"816","ray fair","Yale","Agree","5","",13,2
"817","amy finkelstein","MIT","Uncertain","8","",13,2
"818","pinelopi goldberg","Yale","Uncertain","8","",13,2
"819","austan goolsbee","Chicago","Strongly Agree","10","The point of the tax is to shift fr/producers who are mobile to consumers who aren't. That means consumer prices go up. There's no magic.<br>",13,2
"820","michael greenstone","Chicago","Did Not Answer","","",13,2
"821","robert hall","Stanford","Did Not Answer","","",13,2
"822","oliver hart","Harvard","Uncertain","5","I don't know what the effects of a destination based tax would be or whether it would improve matters. I would prefer a consumption tax.<br>",13,2
"823","bengt holmstrom","MIT","No Opinion","","",13,2
"824","caroline hoxby","Stanford","Did Not Answer","","",13,2
"825","hilary hoynes","Berkeley","Uncertain","8","",13,2
"826","kenneth judd","Stanford","Agree","8","Certainly in the short run.<br>",13,2
"827","steven kaplan","Chicago","Uncertain","1","",13,2
"828","anil kashyap","Chicago","Agree","1","Magnitude hard to judge but lobbying by Walmart is not an accident, some pass through into prices likely. <br>",13,2
"829","pete klenow","Stanford","Disagree","4","<a href=""http://eml.berkeley.edu/~auerbach/Borderadjustmentandthedollar.pdf"" target=""_blank-see background information here</a><br>",13,2
"830","jonathan levin","Stanford","Uncertain","2","",13,2
"831","eric maskin","Harvard","Did Not Answer","","",13,2
"832","william nordhaus","Yale","Agree","4","""Substantially"" here would mean 1 -2 % on level of CPI.<br>",13,2
"833","emmanuel saez","Berkeley","Uncertain","6","",13,2
"834","larry samuelson","Yale","Agree","8","Whatever the effect on the deficit, it is likely to have adverse effects on domestic prices.<br>",13,2
"835","jose scheinkman","Princeton","Did Not Answer","","",13,2
"836","richard schmalensee","MIT","No Opinion","","",13,2
"837","carl shapiro","Berkeley","Did Not Answer","","",13,2
"838","robert shimer","Chicago","Disagree","1","",13,2
"839","richard thaler","Chicago","No Opinion","","",13,2
"840","christopher udry","Yale","Disagree","4","",13,2
"841","daron acemoglu","MIT","Agree","7","",14,1
"842","alberto alesina","Harvard","Did Not Answer","","",14,1
"843","joseph altonji","Yale","Strongly Agree","9","",14,1
"844","alan auerbach","Berkeley","Strongly Agree","10","",14,1
"845","david autor","MIT","Strongly Agree","10","""Prediction is very difficult, especially if it's about the future."" --Nils Bohr<br>",14,1
"846","katherine baicker","Chicago","Strongly Agree","5","",14,1
"847","abhijit banerjee","MIT","Agree","7","",14,1
"848","marianne bertrand","Chicago","Strongly Agree","8","",14,1
"849","markus brunnermeier","Princeton","Agree","9","",14,1
"850","raj chetty","Stanford","Strongly Agree","9","",14,1
"851","judith chevalier","Yale","Agree","8","",14,1
"852","david cutler","Harvard","Strongly Agree","10","",14,1
"853","angus deaton","Princeton","Strongly Agree","10","",14,1
"854","darrell duffie","Stanford","Agree","3","",14,1
"855","aaron edlin","Berkeley","Strongly Agree","5","",14,1
"856","barry eichengreen","Berkeley","Agree","6","",14,1
"857","liran einav","Stanford","Agree","1","",14,1
"858","ray fair","Yale","Strongly Agree","10","",14,1
"859","amy finkelstein","MIT","Strongly Agree","8","",14,1
"860","pinelopi goldberg","Yale","Strongly Agree","9","",14,1
"861","austan goolsbee","Chicago","Strongly Agree","10","Duh<br>",14,1
"862","michael greenstone","Chicago","Strongly Agree","7","",14,1
"863","robert hall","Stanford","Did Not Answer","","",14,1
"864","oliver hart","Harvard","Strongly Agree","10","The world is uncertain and even the most careful, conscientious, and skilled people may fail to anticipate some important factors.<br>",14,1
"865","bengt holmstrom","MIT","Strongly Agree","7","",14,1
"866","caroline hoxby","Stanford","Agree","10","",14,1
"867","hilary hoynes","Berkeley","Agree","8","My only hesitation is I would say strongly agree if the word substantially was deleted from the sentence. <br>",14,1
"868","kenneth judd","Stanford","Agree","8","The job is made more difficult by the unwillingness of economists to use modern tools of analysis.<br>",14,1
"869","steven kaplan","Chicago","Agree","10","",14,1
"870","anil kashyap","Chicago","Strongly Agree","10","disclosure, i was an unpaid cbo advisor for many years. part of the reason to serve is to help, but the job is very challenging. <br>",14,1
"871","pete klenow","Stanford","Strongly Agree","10","",14,1
"872","jonathan levin","Stanford","Agree","5","",14,1
"873","eric maskin","Harvard","Did Not Answer","","",14,1
"874","william nordhaus","Yale","Strongly Agree","9","",14,1
"875","emmanuel saez","Berkeley","Strongly Agree","8","",14,1
"876","larry samuelson","Yale","Strongly Agree","10","",14,1
"877","jose scheinkman","Princeton","Strongly Agree","6","",14,1
"878","richard schmalensee","MIT","Strongly Agree","8","",14,1
"879","carl shapiro","Berkeley","Strongly Agree","9","",14,1
"880","robert shimer","Chicago","Strongly Agree","10","",14,1
"881","richard thaler","Chicago","Strongly Agree","5","",14,1
"882","christopher udry","Yale","Strongly Agree","10","",14,1
"883","daron acemoglu","MIT","Agree","4","",14,2
"884","alberto alesina","Harvard","Did Not Answer","","",14,2
"885","joseph altonji","Yale","Agree","8","",14,2
"886","alan auerbach","Berkeley","Agree","7","",14,2
"887","david autor","MIT","Agree","8","CBO has a good track record with a very difficult assignment. It errs, but not systematically or with partisan intent. <br>",14,2
"888","katherine baicker","Chicago","Agree","4","",14,2
"889","abhijit banerjee","MIT","Agree","8","",14,2
"890","marianne bertrand","Chicago","Agree","4","",14,2
"891","markus brunnermeier","Princeton","Agree","9","",14,2
"892","raj chetty","Stanford","Strongly Agree","9","",14,2
"893","judith chevalier","Yale","Strongly Agree","9","",14,2
"894","david cutler","Harvard","Strongly Agree","7","",14,2
"895","angus deaton","Princeton","Strongly Agree","9","",14,2
"896","darrell duffie","Stanford","Agree","1","",14,2
"897","aaron edlin","Berkeley","Agree","6","",14,2
"898","barry eichengreen","Berkeley","Agree","8","I am interpreting ""credible"" to mean ""unbiased and informative.""<br>",14,2
"899","liran einav","Stanford","Agree","1","",14,2
"900","ray fair","Yale","Agree","5","",14,2
"901","amy finkelstein","MIT","Agree","5","",14,2
"902","pinelopi goldberg","Yale","Agree","5","",14,2
"903","austan goolsbee","Chicago","Strongly Agree","10","if you choose the cbo director and then say cbo is unfair, you're either an idealogue or a bad comedian<br>",14,2
"904","michael greenstone","Chicago","Agree","9","",14,2
"905","robert hall","Stanford","Did Not Answer","","",14,2
"906","oliver hart","Harvard","Strongly Agree","8","The CBO is a serious and reputable agency. I would put a lot of weight on its forecasts, even knowing that some will inevitably be wrong. <br>",14,2
"907","bengt holmstrom","MIT","No Opinion","","I have not followed the CBO sufficiently to pass a judgment<br>",14,2
"908","caroline hoxby","Stanford","Uncertain","10","",14,2
"909","hilary hoynes","Berkeley","Strongly Agree","10","",14,2
"910","kenneth judd","Stanford","Agree","8","This is my belief. Unfortunately economists do not believe in serious retrospective analysis of past forecasts.<br>",14,2
"911","steven kaplan","Chicago","Uncertain","8","It is hard to adjust for those legal restrictions.<br>",14,2
"912","anil kashyap","Chicago","Strongly Agree","7","the clause is important, they are restricted to use current law to project, even when that is going to create errors. see disclosure<br>",14,2
"913","pete klenow","Stanford","Agree","7","",14,2
"914","jonathan levin","Stanford","Agree","5","",14,2
"915","eric maskin","Harvard","Did Not Answer","","",14,2
"916","william nordhaus","Yale","Strongly Agree","8","",14,2
"917","emmanuel saez","Berkeley","Agree","9","",14,2
"918","larry samuelson","Yale","Strongly Agree","8","",14,2
"919","jose scheinkman","Princeton","No Opinion","","",14,2
"920","richard schmalensee","MIT","Agree","6","",14,2
"921","carl shapiro","Berkeley","Agree","6","",14,2
"922","robert shimer","Chicago","Agree","6","",14,2
"923","richard thaler","Chicago","Agree","5","",14,2
"924","christopher udry","Yale","Strongly Agree","6","There is no credible evidence of partisan bias.<br>",14,2
"925","daron acemoglu","MIT","Strongly Disagree","9","Basic economic theory. Cheaper factor expands output. Revenues increase not decrease.<br>",15,1
"926","alberto alesina","Harvard","Did Not Answer","","",15,1
"927","joseph altonji","Yale","Strongly Disagree","8","",15,1
"928","alan auerbach","Berkeley","Strongly Disagree","7","",15,1
"929","david autor","MIT","Strongly Disagree","7","H1B workers are mostly high-paid employees at profitable firms. Cutting H1Bs will reduce profits and total wage payments and therefore taxes<br>",15,1
"930","katherine baicker","Chicago","Disagree","2","",15,1
"931","abhijit banerjee","MIT","Strongly Disagree","7","",15,1
"932","marianne bertrand","Chicago","Strongly Disagree","6","",15,1
"933","markus brunnermeier","Princeton","Disagree","7","",15,1
"934","raj chetty","Stanford","Did Not Answer","","",15,1
"935","judith chevalier","Yale","Disagree","9","It is hard to see any mechanism by which this occurs. <br>",15,1
"936","david cutler","Harvard","Strongly Disagree","6","",15,1
"937","angus deaton","Princeton","Strongly Disagree","3","",15,1
"938","darrell duffie","Stanford","Disagree","3","",15,1
"939","aaron edlin","Berkeley","Disagree","7","",15,1
"940","barry eichengreen","Berkeley","Disagree","4","",15,1
"941","liran einav","Stanford","Uncertain","1","",15,1
"942","ray fair","Yale","Disagree","6","",15,1
"943","amy finkelstein","MIT","Disagree","5","",15,1
"944","pinelopi goldberg","Yale","Strongly Disagree","10","",15,1
"945","austan goolsbee","Chicago","Disagree","2","Yes, H-1b is a flawed way to bring in skiledl immigrants (gives employer control over their immigration). But repeal w/o replace is dumb. <br>",15,1
"946","michael greenstone","Chicago","Disagree","7","",15,1
"947","robert hall","Stanford","Did Not Answer","","",15,1
"948","oliver hart","Harvard","Disagree","6","H-1B visa holders pay taxes and so there seems no direct effect. Wages might rise, raising taxes, but profits will fall, reducing them.<br>",15,1
"949","bengt holmstrom","MIT","Disagree","5","",15,1
"950","caroline hoxby","Stanford","Uncertain","10","I am confident that uncertain is correct because answer depends on general equilibrium effects that are extremely hard to identify credibly.<br>",15,1
"951","hilary hoynes","Berkeley","Disagree","6","<a href=""http://www.nber.org/papers/w20668"" target=""_blank-see background information here</a><br><a href=""http://giovanniperi.ucdavis.edu/foreign-and-native-skilled-workers-what-can-we-learn-from-h-1b-lotteries.html"" target=""_blank-see background information here</a><br>",15,1
"952","kenneth judd","Stanford","Disagree","8","Even if they were replaced by residents that are currently not working, there would be no net change in tax revenues.<br>",15,1
"953","steven kaplan","Chicago","Disagree","4","Fewer H1Bs will push U.S. cos. to hire talent outside the U.S., reducing output and tax revenue. Effect likely modest. Better more H1Bs.<br>",15,1
"954","anil kashyap","Chicago","Disagree","5","some jobs (and tax revenue) likely to shift overseas for the short run, hard to see how a material increase in taxes would be possible <br>",15,1
"955","pete klenow","Stanford","Strongly Disagree","10","<a href=""http://www.nber.org/papers/w19377"" target=""_blank-see background information here</a><br><a href=""http://www.nber.org/papers/w22623"" target=""_blank-see background information here</a><br>",15,1
"956","jonathan levin","Stanford","Disagree","5","",15,1
"957","eric maskin","Harvard","Did Not Answer","","",15,1
"958","william nordhaus","Yale","Uncertain","1","",15,1
"959","emmanuel saez","Berkeley","Strongly Disagree","7","",15,1
"960","larry samuelson","Yale","Disagree","6","H-1B visas have such a small and indirect effect on US tax revenues that one cannot be confident of a significant increase in tax revenues.<br>",15,1
"961","jose scheinkman","Princeton","Strongly Disagree","8","",15,1
"962","richard schmalensee","MIT","Strongly Disagree","8","Hard to see how making the labor force smaller could raise tax revenues.<br>",15,1
"963","carl shapiro","Berkeley","Did Not Answer","","",15,1
"964","robert shimer","Chicago","Strongly Disagree","8","I can't imagine any argument for how restricting high skilled immigrants would increase tax revenue<br>",15,1
"965","richard thaler","Chicago","Disagree","8","",15,1
"966","christopher udry","Yale","Strongly Disagree","8","<a href=""http://irps.ucsd.edu/assets/001/504703.pdf"" target=""_blank-see background information here</a><br>",15,1
"967","daron acemoglu","MIT","Disagree","5","The evidence is not clear. But no support for a strong effect.<br>",15,2
"968","alberto alesina","Harvard","Did Not Answer","","",15,2
"969","joseph altonji","Yale","Strongly Disagree","8","",15,2
"970","alan auerbach","Berkeley","Strongly Disagree","7","",15,2
"971","david autor","MIT","Strongly Disagree","7","H1Bs may slightly depress wages for high-skill workers. But they don't lower total jobs and they likely raise total profits and wages.<br>",15,2
"972","katherine baicker","Chicago","Disagree","2","",15,2
"973","abhijit banerjee","MIT","Uncertain","6","",15,2
"974","marianne bertrand","Chicago","Strongly Disagree","6","",15,2
"975","markus brunnermeier","Princeton","Strongly Disagree","6","Immigrants have founded so many start-up companies, including Google, Tesla, ... <br>",15,2
"976","raj chetty","Stanford","Did Not Answer","","",15,2
"977","judith chevalier","Yale","Disagree","6","H1Bs both a substitute &amp; complement to US workers. But the substitute US workers are already nearly fully employed. <br>",15,2
"978","david cutler","Harvard","Strongly Disagree","6","",15,2
"979","angus deaton","Princeton","Strongly Disagree","3","",15,2
"980","darrell duffie","Stanford","No Opinion","","",15,2
"981","aaron edlin","Berkeley","Disagree","6","",15,2
"982","barry eichengreen","Berkeley","Disagree","4","",15,2
"983","liran einav","Stanford","Uncertain","1","",15,2
"984","ray fair","Yale","Disagree","5","",15,2
"985","amy finkelstein","MIT","Uncertain","1","",15,2
"986","pinelopi goldberg","Yale","Strongly Disagree","10","",15,2
"987","austan goolsbee","Chicago","Disagree","3","Protectionism doesn't work<br>",15,2
"988","michael greenstone","Chicago","Disagree","2","",15,2
"989","robert hall","Stanford","Did Not Answer","","",15,2
"990","oliver hart","Harvard","Disagree","6","There aren't that many H-1B visas. Also skilled workers may be complementary to other workers, and so the effect could go the other way.<br>",15,2
"991","bengt holmstrom","MIT","Disagree","7","",15,2
"992","caroline hoxby","Stanford","Uncertain","10","See above.<br>",15,2
"993","hilary hoynes","Berkeley","Disagree","6","<a href=""http://www.nber.org/papers/w20668"" target=""_blank-see background information here</a><br><a href=""http://giovanniperi.ucdavis.edu/foreign-and-native-skilled-workers-what-can-we-learn-from-h-1b-lotteries.html"" target=""_blank-see background information here</a><br>",15,2
"994","kenneth judd","Stanford","Disagree","6","Many American workers are complementary to the H1-B workers. Net job impact is unclear.<br>",15,2
"995","steven kaplan","Chicago","Uncertain","7","Direct effect, may hire some U.S. employees. But will push other operations overseas, reducing U.S. activity. Net effect is uncertain.<br>",15,2
"996","anil kashyap","Chicago","Disagree","5","eventually perhaps some americans get hired, but seems more likely that there are shortages and activity moves in the short run <br>",15,2
"997","pete klenow","Stanford","Disagree","7","<a href=""http://www.nber.org/papers/w20668"" target=""_blank-see background information here</a><br>",15,2
"998","jonathan levin","Stanford","Strongly Disagree","8","",15,2
"999","eric maskin","Harvard","Did Not Answer","","",15,2
"1000","william nordhaus","Yale","No Opinion","","",15,2
"1001","emmanuel saez","Berkeley","Disagree","4","",15,2
"1002","larry samuelson","Yale","Disagree","6","H-1B visa holders fill positions that are hard to fill domestically for structural reasons, such as skill mismatches.<br>",15,2
"1003","jose scheinkman","Princeton","Uncertain","6","Some production would move out of the US because of the scarcity of skilled workers.<br>",15,2
"1004","richard schmalensee","MIT","Disagree","7","There might be some effect, but not a material effect.<br>",15,2
"1005","carl shapiro","Berkeley","Did Not Answer","","",15,2
"1006","robert shimer","Chicago","Uncertain","5","I expect some jobs that are currently held by H1Bs would go to native-born workers. Many other jobs would move out of the country.<br>",15,2
"1007","richard thaler","Chicago","Uncertain","1","",15,2
"1008","christopher udry","Yale","Strongly Disagree","8","Innovative enterprises flourish with ideas and talent from around the world.<br>",15,2
"1009","daron acemoglu","MIT","Uncertain","1","",16,1
"1010","alberto alesina","Harvard","Did Not Answer","1","",16,1
"1011","joseph altonji","Yale","Agree","3","Tangible economic benefits are not large. Consumer satisfaction from having a local team is harder to quantify.<br>",16,1
"1012","alan auerbach","Berkeley","Agree","7","",16,1
"1013","david autor","MIT","Agree","3","Hmm, Is this the most pressing economic issue of the moment? I wouldn't have thought so... <br>",16,1
"1014","katherine baicker","Chicago","Agree","3","",16,1
"1015","abhijit banerjee","MIT","No Opinion","","",16,1
"1016","marianne bertrand","Chicago","Uncertain","3","",16,1
"1017","markus brunnermeier","Princeton","Strongly Agree","9","",16,1
"1018","raj chetty","Stanford","Did Not Answer","","",16,1
"1019","judith chevalier","Yale","Did Not Answer","","",16,1
"1020","david cutler","Harvard","Strongly Agree","6","",16,1
"1021","angus deaton","Princeton","Agree","1","",16,1
"1022","darrell duffie","Stanford","No Opinion","","",16,1
"1023","aaron edlin","Berkeley","No Opinion","","",16,1
"1024","barry eichengreen","Berkeley","Agree","5","",16,1
"1025","liran einav","Stanford","Uncertain","3","",16,1
"1026","ray fair","Yale","Agree","5","",16,1
"1027","amy finkelstein","MIT","Did Not Answer","1","",16,1
"1028","pinelopi goldberg","Yale","Did Not Answer","1","",16,1
"1029","austan goolsbee","Chicago","Agree","1","",16,1
"1030","michael greenstone","Chicago","Disagree","7","Sports teams generate value that they cannot capture thru tixs/tv----Chicagoans benefited from Cubs winning WS. Subsidies are compensation<br>",16,1
"1031","robert hall","Stanford","Did Not Answer","","",16,1
"1032","oliver hart","Harvard","Agree","7","The evidence suggests that expenditure by tourists is small and that locals who spend more on this sport spend less on other activities. <br>",16,1
"1033","bengt holmstrom","MIT","Uncertain","5","",16,1
"1034","caroline hoxby","Stanford","Strongly Agree","10","The empirical research on this topic is fairly unambiguous.<br><a href=""http://news.stanford.edu/2015/07/30/stadium-economics-noll-073015/"" target=""_blank-see background information here</a><br>",16,1
"1035","hilary hoynes","Berkeley","Agree","5","",16,1
"1036","kenneth judd","Stanford","Agree","7","",16,1
"1037","steven kaplan","Chicago","Agree","5","",16,1
"1038","anil kashyap","Chicago","Agree","7","Full public financing of stadiums is mostly a transfer to the owners<br>",16,1
"1039","pete klenow","Stanford","Agree","5","<a href=""http://college.holycross.edu/RePEc/spe/CoatesHumphreys_LitReview.pdf"" target=""_blank-see background information here</a><br>",16,1
"1040","jonathan levin","Stanford","Did Not Answer","","",16,1
"1041","eric maskin","Harvard","Agree","7","",16,1
"1042","william nordhaus","Yale","No Opinion","","",16,1
"1043","emmanuel saez","Berkeley","Agree","4","",16,1
"1044","larry samuelson","Yale","Agree","8","Common estimates of the benefits are often wildly inflated, and fail to distinguish total economic activity form net gains in activities.<br>",16,1
"1045","jose scheinkman","Princeton","Agree","4","See e.g. Zimbalist and Noll ""Sports, Jobs, &amp; Taxes: Are New Stadiums Worth the Cost?""<br><a href=""https://www.brookings.edu/articles/sports-jobs-taxes-are-new-stadiums-worth-the-cost/"" target=""_blank-see background information here</a><br>",16,1
"1046","richard schmalensee","MIT","Strongly Agree","7","While there may be exceptions, this is a easy call -- particularly for football stadiums.<br>",16,1
"1047","carl shapiro","Berkeley","Did Not Answer","","",16,1
"1048","robert shimer","Chicago","Uncertain","5","Some local economic benefits are easy to quantify and those are small. But agglomeration effects are harder to measure.<br>",16,1
"1049","richard thaler","Chicago","Agree","5","",16,1
"1050","christopher udry","Yale","Strongly Agree","10","Almost always true, if ""economic"" is narrowly construed as ""fiscal"". This is true for museums and concert halls as well. <br>",16,1
"1051","daron acemoglu","MIT","Uncertain","6","They are more likely to increase the corporate profits of listed firms than all firms, and also in the short/medium run rather than long run<br>",17,1
"1052","alberto alesina","Harvard","Did Not Answer","","",17,1
"1053","joseph altonji","Yale","Agree","2","",17,1
"1054","alan auerbach","Berkeley","Agree","6","",17,1
"1055","david autor","MIT","Agree","7","",17,1
"1056","katherine baicker","Chicago","Uncertain","1","",17,1
"1057","abhijit banerjee","MIT","Strongly Agree","6","",17,1
"1058","marianne bertrand","Chicago","Uncertain","4","",17,1
"1059","markus brunnermeier","Princeton","Agree","8","",17,1
"1060","raj chetty","Stanford","Uncertain","5","",17,1
"1061","judith chevalier","Yale","Agree","6","The after-tax part is crucial.<br>",17,1
"1062","david cutler","Harvard","Agree","3","",17,1
"1063","angus deaton","Princeton","Agree","7","",17,1
"1064","darrell duffie","Stanford","Strongly Agree","8","Even if there is no impact on before-tax profits, stock market investors generally believe that corporate tax rates will drop a lot. <br>",17,1
"1065","aaron edlin","Berkeley","Agree","7","",17,1
"1066","barry eichengreen","Berkeley","Strongly Agree","6","",17,1
"1067","liran einav","Stanford","Agree","2","",17,1
"1068","ray fair","Yale","No Opinion","","Changes in stock prices are largely unpredictable. No real way to identify the increase in stock prices to Trump. <br>",17,1
"1069","amy finkelstein","MIT","Did Not Answer","","",17,1
"1070","pinelopi goldberg","Yale","Did Not Answer","","",17,1
"1071","austan goolsbee","Chicago","Agree","9","companies like tax cuts<br>",17,1
"1072","michael greenstone","Chicago","Did Not Answer","","",17,1
"1073","robert hall","Stanford","Uncertain","5","Two forces in the universe are really hard to predict or understand: Trump and the stock market.<br>",17,1
