"","subject","question.x","time","n_q","question.y","id"
"103","Health Insurance Subsidies","Expanding health insurance to more people through the ACA¡¯s public subsidies and Medicaid expansion will reduce total healthcare spending in the economy.","Monday, October 5th, 2015 12:47 pm",1,"Expanding health insurance to more people through the ACA¡¯s public subsidies and Medicaid expansion will generate gains in the health and well-being of the newly insured that exceed the costs.",62
"104","Health Insurance Subsidies","Expanding health insurance to more people through the ACA¡¯s public subsidies and Medicaid expansion will generate gains in the health and well-being of the newly insured that exceed the costs.","Monday, October 5th, 2015 12:47 pm",2,"Expanding health insurance to more people through the ACA¡¯s public subsidies and Medicaid expansion will reduce total healthcare spending in the economy.",61
"105","Health Insurance Subsidies","Expanding health insurance to more people through the ACA¡¯s public subsidies and Medicaid expansion will generate gains in the health and well-being of the newly insured that exceed the costs.","Monday, October 5th, 2015 12:47 pm",2,"Expanding health insurance to more people through the ACA¡¯s public subsidies and Medicaid expansion will generate gains in the health and well-being of the newly insured that exceed the costs.",62
"106","$15 Minimum Wage","If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",1,"If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.",63
"107","$15 Minimum Wage","If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",1,"Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.",64
"108","$15 Minimum Wage","Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.","Tuesday, September 22nd, 2015 11:01 am",2,"If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.",63
"109","$15 Minimum Wage","Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.","Tuesday, September 22nd, 2015 11:01 am",2,"Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.",64
"110","Greece¡¯s Referendum","The median Greek citizen will bebetter off if there is a ¡°yes¡± vote in the July 5 referendum on whether toaccept the terms of the bailout package offered by Greece's creditors.","Saturday, July 4th, 2015 10:07 am",1,"The median Greek citizen will bebetter off if there is a ¡°yes¡± vote in the July 5 referendum on whether toaccept the terms of the bailout package offered by Greece's creditors.",65
"111","Currency Manipulation","Economic analysis can identify whether countries are using their exchange rates to benefit their own people at the expense of their trading partners¡¯ welfare.","Tuesday, June 16th, 2015 1:22 pm",1,"Economic analysis can identify whether countries are using their exchange rates to benefit their own people at the expense of their trading partners¡¯ welfare.",66
"112","Currency Manipulation","Economic analysis can identify whether countries are using their exchange rates to benefit their own people at the expense of their trading partners¡¯ welfare.","Tuesday, June 16th, 2015 1:22 pm",1,"Bank of Japan monetary policies that result in a weaker yen make Americans generally worse off.",67
"113","Currency Manipulation","Bank of Japan monetary policies that result in a weaker yen make Americans generally worse off.","Tuesday, June 16th, 2015 1:22 pm",2,"Economic analysis can identify whether countries are using their exchange rates to benefit their own people at the expense of their trading partners¡¯ welfare.",66
"114","Currency Manipulation","Bank of Japan monetary policies that result in a weaker yen make Americans generally worse off.","Tuesday, June 16th, 2015 1:22 pm",2,"Bank of Japan monetary policies that result in a weaker yen make Americans generally worse off.",67
"115","Nash Equilibrium","Behavior in many complex and seemingly intractable strategic settings can be understood more clearly by working out what each party in the game will choose to do if they realize that the other parties will be solving the same problem. This insight has helped us understand behavior as diverse as military conflicts, price setting by competing firms and penalty kicking in soccer.","Tuesday, June 2nd, 2015 9:08 am",1,"Behavior in many complex and seemingly intractable strategic settings can be understood more clearly by working out what each party in the game will choose to do if they realize that the other parties will be solving the same problem. This insight has helped us understand behavior as diverse as military conflicts, price setting by competing firms and penalty kicking in soccer.",68
"116","US Median Income","The 9% cumulative increase in <a href=""http://www.census.gov/hhes/www/income/data/historical/household/2013/h05.xls"" target=""_blank"">real US median household income</a> since 1980 substantially understates how much better off people in the median American household are now economically, compared with 35 years ago.","Tuesday, May 12th, 2015 2:52 pm",1,"The 9% cumulative increase in <a href=""http://www.census.gov/hhes/www/income/data/historical/household/2013/h05.xls"" target=""_blank"">real US median household income</a> since 1980 substantially understates how much better off people in the median American household are now economically, compared with 35 years ago.",69
"117","California¡¯s Drought","Californians would be better off on average if all final users in the state paid the same price for water <U+2014> adjusted for quality, place and time <U+2014> even if, as a result, some food prices rose sharply and some farms failed.","Tuesday, April 21st, 2015 10:12 am",1,"Californians would be better off on average if all final users in the state paid the same price for water <U+2014> adjusted for quality, place and time <U+2014> even if, as a result, some food prices rose sharply and some farms failed.",70
"118","Raising Interest Rates","The Fed should wait until its preferred measure of inflation (Core PCE) is clearly rising <U+2014> and not just forecast to rise <U+2014> before it begins hiking interest rates.","Tuesday, April 7th, 2015 1:42 pm",1,"The Fed should wait until its preferred measure of inflation (Core PCE) is clearly rising <U+2014> and not just forecast to rise <U+2014> before it begins hiking interest rates.",71
"119","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Tuesday, March 24th, 2015 1:14 pm",1,"Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.",72
"120","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Tuesday, March 24th, 2015 1:14 pm",1,"The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.",73
"121","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Tuesday, March 24th, 2015 1:14 pm",2,"Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.",72
"122","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Tuesday, March 24th, 2015 1:14 pm",2,"The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.",73
"123","Vaccines","Declining to be vaccinated against contagious diseases such as measles imposes costs on other people, which is a negative externality.","Tuesday, March 10th, 2015 9:39 am",1,"Declining to be vaccinated against contagious diseases such as measles imposes costs on other people, which is a negative externality.",74
"124","Vaccines","Declining to be vaccinated against contagious diseases such as measles imposes costs on other people, which is a negative externality.","Tuesday, March 10th, 2015 9:39 am",1,"Considering the costs of restricting free choice, and the share of people in the US who choose not to vaccinate their children for measles, the social benefit of mandating measles vaccines for all Americans (except those with compelling medical reasons) would exceed the social cost.",75
"125","Vaccines","Considering the costs of restricting free choice, and the share of people in the US who choose not to vaccinate their children for measles, the social benefit of mandating measles vaccines for all Americans (except those with compelling medical reasons) would exceed the social cost.","Tuesday, March 10th, 2015 9:39 am",2,"Declining to be vaccinated against contagious diseases such as measles imposes costs on other people, which is a negative externality.",74
"126","Vaccines","Considering the costs of restricting free choice, and the share of people in the US who choose not to vaccinate their children for measles, the social benefit of mandating measles vaccines for all Americans (except those with compelling medical reasons) would exceed the social cost.","Tuesday, March 10th, 2015 9:39 am",2,"Considering the costs of restricting free choice, and the share of people in the US who choose not to vaccinate their children for measles, the social benefit of mandating measles vaccines for all Americans (except those with compelling medical reasons) would exceed the social cost.",75
"127","Greece","In 10 years, per capita purchasing power in Greece will be higher if <U+2014> rather than continuing to service its debts over the next decade and complying with the budget rules currently in place <U+2014> it refuses to accept a continuation of its current troika program and explicitly defaults on its debt held by the official sector.","Tuesday, February 24th, 2015 9:12 am",1,"In 10 years, per capita purchasing power in Greece will be higher if <U+2014> rather than continuing to service its debts over the next decade and complying with the budget rules currently in place <U+2014> it refuses to accept a continuation of its current troika program and explicitly defaults on its debt held by the official sector.",76
"128","Dynamic Scoring","Changing federal income tax rates, or the income bases to which those rates apply, can affect federal tax revenues partly by altering people¡¯s behavior, and thus their actual or reported incomes.","Tuesday, February 10th, 2015 9:36 am",1,"Changing federal income tax rates, or the income bases to which those rates apply, can affect federal tax revenues partly by altering people¡¯s behavior, and thus their actual or reported incomes.",77
"129","Dynamic Scoring","Changing federal income tax rates, or the income bases to which those rates apply, can affect federal tax revenues partly by altering people¡¯s behavior, and thus their actual or reported incomes.","Tuesday, February 10th, 2015 9:36 am",1,"To the extent that a given tax change might affect revenues partly by affecting national-income growth, existing research provides enough guidance to generate informative bounds on the size of any growth-driven revenue effect.",78
"130","Dynamic Scoring","Changing federal income tax rates, or the income bases to which those rates apply, can affect federal tax revenues partly by altering people¡¯s behavior, and thus their actual or reported incomes.","Tuesday, February 10th, 2015 9:36 am",1,"For large proposed changes in tax rates or the tax base, official revenue forecasts provided to Congress would probably be more accurate if the CBO and JCT tried to estimate fully how the proposed tax changes would affect growth-driven revenue.",79
"131","Dynamic Scoring","To the extent that a given tax change might affect revenues partly by affecting national-income growth, existing research provides enough guidance to generate informative bounds on the size of any growth-driven revenue effect.","Tuesday, February 10th, 2015 9:36 am",2,"Changing federal income tax rates, or the income bases to which those rates apply, can affect federal tax revenues partly by altering people¡¯s behavior, and thus their actual or reported incomes.",77
"132","Dynamic Scoring","To the extent that a given tax change might affect revenues partly by affecting national-income growth, existing research provides enough guidance to generate informative bounds on the size of any growth-driven revenue effect.","Tuesday, February 10th, 2015 9:36 am",2,"To the extent that a given tax change might affect revenues partly by affecting national-income growth, existing research provides enough guidance to generate informative bounds on the size of any growth-driven revenue effect.",78
"133","Dynamic Scoring","To the extent that a given tax change might affect revenues partly by affecting national-income growth, existing research provides enough guidance to generate informative bounds on the size of any growth-driven revenue effect.","Tuesday, February 10th, 2015 9:36 am",2,"For large proposed changes in tax rates or the tax base, official revenue forecasts provided to Congress would probably be more accurate if the CBO and JCT tried to estimate fully how the proposed tax changes would affect growth-driven revenue.",79
"134","Dynamic Scoring","For large proposed changes in tax rates or the tax base, official revenue forecasts provided to Congress would probably be more accurate if the CBO and JCT tried to estimate fully how the proposed tax changes would affect growth-driven revenue.","Tuesday, February 10th, 2015 9:36 am",3,"Changing federal income tax rates, or the income bases to which those rates apply, can affect federal tax revenues partly by altering people¡¯s behavior, and thus their actual or reported incomes.",77
"135","Dynamic Scoring","For large proposed changes in tax rates or the tax base, official revenue forecasts provided to Congress would probably be more accurate if the CBO and JCT tried to estimate fully how the proposed tax changes would affect growth-driven revenue.","Tuesday, February 10th, 2015 9:36 am",3,"To the extent that a given tax change might affect revenues partly by affecting national-income growth, existing research provides enough guidance to generate informative bounds on the size of any growth-driven revenue effect.",78
"136","Dynamic Scoring","For large proposed changes in tax rates or the tax base, official revenue forecasts provided to Congress would probably be more accurate if the CBO and JCT tried to estimate fully how the proposed tax changes would affect growth-driven revenue.","Tuesday, February 10th, 2015 9:36 am",3,"For large proposed changes in tax rates or the tax base, official revenue forecasts provided to Congress would probably be more accurate if the CBO and JCT tried to estimate fully how the proposed tax changes would affect growth-driven revenue.",79
"137","Textbook Prices","Most college professors who assign textbooks would not be able to guess, within 10% of the actual figure, the retail price that their students pay for new copies of those books.","Tuesday, January 27th, 2015 9:39 am",1,"Most college professors who assign textbooks would not be able to guess, within 10% of the actual figure, the retail price that their students pay for new copies of those books.",80
"138","Textbook Prices","Most college professors who assign textbooks would not be able to guess, within 10% of the actual figure, the retail price that their students pay for new copies of those books.","Tuesday, January 27th, 2015 9:39 am",1,"Since students can resell college textbooks or rent electronic versions, the net burden on students is substantially lower than retail prices for new textbook purchases would suggest.",81
"139","Textbook Prices","Most college professors who assign textbooks would not be able to guess, within 10% of the actual figure, the retail price that their students pay for new copies of those books.","Tuesday, January 27th, 2015 9:39 am",1,"<div>Even though the professors who select textbooks are different form the people who pay for them, the price of new edition college textbooks reflect classic forces of supply and demand.</div><div><br></div>",82
"140","Textbook Prices","Since students can resell college textbooks or rent electronic versions, the net burden on students is substantially lower than retail prices for new textbook purchases would suggest.","Tuesday, January 27th, 2015 9:39 am",2,"Most college professors who assign textbooks would not be able to guess, within 10% of the actual figure, the retail price that their students pay for new copies of those books.",80
"141","Textbook Prices","Since students can resell college textbooks or rent electronic versions, the net burden on students is substantially lower than retail prices for new textbook purchases would suggest.","Tuesday, January 27th, 2015 9:39 am",2,"Since students can resell college textbooks or rent electronic versions, the net burden on students is substantially lower than retail prices for new textbook purchases would suggest.",81
"142","Textbook Prices","Since students can resell college textbooks or rent electronic versions, the net burden on students is substantially lower than retail prices for new textbook purchases would suggest.","Tuesday, January 27th, 2015 9:39 am",2,"<div>Even though the professors who select textbooks are different form the people who pay for them, the price of new edition college textbooks reflect classic forces of supply and demand.</div><div><br></div>",82
"143","Textbook Prices","<div>Even though the professors who select textbooks are different form the people who pay for them, the price of new edition college textbooks reflect classic forces of supply and demand.</div><div><br></div>","Tuesday, January 27th, 2015 9:39 am",3,"Most college professors who assign textbooks would not be able to guess, within 10% of the actual figure, the retail price that their students pay for new copies of those books.",80
"144","Textbook Prices","<div>Even though the professors who select textbooks are different form the people who pay for them, the price of new edition college textbooks reflect classic forces of supply and demand.</div><div><br></div>","Tuesday, January 27th, 2015 9:39 am",3,"Since students can resell college textbooks or rent electronic versions, the net burden on students is substantially lower than retail prices for new textbook purchases would suggest.",81
"145","Textbook Prices","<div>Even though the professors who select textbooks are different form the people who pay for them, the price of new edition college textbooks reflect classic forces of supply and demand.</div><div><br></div>","Tuesday, January 27th, 2015 9:39 am",3,"<div>Even though the professors who select textbooks are different form the people who pay for them, the price of new edition college textbooks reflect classic forces of supply and demand.</div><div><br></div>",82
"146","Oil Prices","The recent decline in oil prices will promote higher real GDP in the USover the next couple of years.","Tuesday, January 13th, 2015 9:58 am",1,"The recent decline in oil prices will promote higher real GDP in the USover the next couple of years.",83
"147","Economists and Conventions","A US city hosting a big convention will enjoy a higher boost to incremental spending <U+2014> holding the number of visitors and their average incomes fixed <U+2014> if those visitors are auto dealers rather than economists.","Tuesday, December 23rd, 2014 8:16 am",1,"A US city hosting a big convention will enjoy a higher boost to incremental spending <U+2014> holding the number of visitors and their average incomes fixed <U+2014> if those visitors are auto dealers rather than economists.",84
"148","Trade Balances","A typical country can increase its citizens¡¯ welfare by enacting policies that would increase its trade surplus (or decrease its trade deficit).","Tuesday, December 9th, 2014 12:49 pm",1,"A typical country can increase its citizens¡¯ welfare by enacting policies that would increase its trade surplus (or decrease its trade deficit).",85
"149","Repatriated Profits","Lowering the effective marginal tax rate on US corporations¡¯ repatriated profits for a year would boost US capital investment significantly.","Tuesday, November 25th, 2014 1:41 pm",1,"Lowering the effective marginal tax rate on US corporations¡¯ repatriated profits for a year would boost US capital investment significantly.",86
"150","Repatriated Profits","Lowering the effective marginal tax rate on US corporations¡¯ repatriated profits for a year would boost US capital investment significantly.","Tuesday, November 25th, 2014 1:41 pm",1,"Permanently lowering the effective marginal tax rate on US corporations¡¯ repatriated profits, such as by moving to a territorial-based tax system, would boost US capital investment significantly.",87
"151","Repatriated Profits","Permanently lowering the effective marginal tax rate on US corporations¡¯ repatriated profits, such as by moving to a territorial-based tax system, would boost US capital investment significantly.","Tuesday, November 25th, 2014 1:41 pm",2,"Lowering the effective marginal tax rate on US corporations¡¯ repatriated profits for a year would boost US capital investment significantly.",86
"152","Repatriated Profits","Permanently lowering the effective marginal tax rate on US corporations¡¯ repatriated profits, such as by moving to a territorial-based tax system, would boost US capital investment significantly.","Tuesday, November 25th, 2014 1:41 pm",2,"Permanently lowering the effective marginal tax rate on US corporations¡¯ repatriated profits, such as by moving to a territorial-based tax system, would boost US capital investment significantly.",87
"153","Fast-Track Authority","By lowering bargaining costs, fast-track negotiating authority for the president makes it more likely that the U.S. can conclude major trade deals.","Tuesday, November 11th, 2014 9:25 am",1,"By lowering bargaining costs, fast-track negotiating authority for the president makes it more likely that the U.S. can conclude major trade deals.",88
"154","Fast-Track Authority","By lowering bargaining costs, fast-track negotiating authority for the president makes it more likely that the U.S. can conclude major trade deals.","Tuesday, November 11th, 2014 9:25 am",1,"Past major trade deals have benefited most Americans.",89
"155","Fast-Track Authority","Past major trade deals have benefited most Americans.","Tuesday, November 11th, 2014 9:25 am",2,"By lowering bargaining costs, fast-track negotiating authority for the president makes it more likely that the U.S. can conclude major trade deals.",88
"156","Fast-Track Authority","Past major trade deals have benefited most Americans.","Tuesday, November 11th, 2014 9:25 am",2,"Past major trade deals have benefited most Americans.",89
"157","Amazon and Market Power","Amazon has monopsony power in the market for books that is significantly reducing the supply of books.","Tuesday, October 28th, 2014 9:42 am",1,"Amazon has monopsony power in the market for books that is significantly reducing the supply of books.",90
"158","Amazon and Market Power","Amazon has monopsony power in the market for books that is significantly reducing the supply of books.","Tuesday, October 28th, 2014 9:42 am",1,"<div>Amazon has sufficient monopsony power that regulatory intervention is likely to make consumers of books better off, taking into account implementation costs and the effect of intervention on incentives.</div><div><br></div>",91
"159","Amazon and Market Power","<div>Amazon has sufficient monopsony power that regulatory intervention is likely to make consumers of books better off, taking into account implementation costs and the effect of intervention on incentives.</div><div><br></div>","Tuesday, October 28th, 2014 9:42 am",2,"Amazon has monopsony power in the market for books that is significantly reducing the supply of books.",90
"160","Amazon and Market Power","<div>Amazon has sufficient monopsony power that regulatory intervention is likely to make consumers of books better off, taking into account implementation costs and the effect of intervention on incentives.</div><div><br></div>","Tuesday, October 28th, 2014 9:42 am",2,"<div>Amazon has sufficient monopsony power that regulatory intervention is likely to make consumers of books better off, taking into account implementation costs and the effect of intervention on incentives.</div><div><br></div>",91
"161","Piketty on Inequality","The most powerful force pushing towards greater wealth inequality in the US since the 1970s is the gap between the after-tax return on capital and the economic growth rate.","Tuesday, October 14th, 2014 11:12 am",1,"The most powerful force pushing towards greater wealth inequality in the US since the 1970s is the gap between the after-tax return on capital and the economic growth rate.",92
"162","Taxi Competition","Letting car services such as Uber or Lyft compete with taxi firms on equal footing regarding genuine safety and insurance requirements, but without restrictions on prices or routes, raises consumer welfare.","Monday, September 29th, 2014 9:10 am",1,"Letting car services such as Uber or Lyft compete with taxi firms on equal footing regarding genuine safety and insurance requirements, but without restrictions on prices or routes, raises consumer welfare.",93
"163","Scottish Independence","Although there are many issues for Scotland¡¯s voters to consider, one consequence of separating from the rest of the UK would be greater macroeconomic instability for Scotland for many years.","Monday, September 15th, 2014 11:05 am",1,"Although there are many issues for Scotland¡¯s voters to consider, one consequence of separating from the rest of the UK would be greater macroeconomic instability for Scotland for many years.",94
"164","Infrastructure (revisited)","Because the US has underspent on new projects, maintenance, or both, the federal government has an opportunity to increase average incomes by spending more on roads, railways, bridges and airports. (The experts panel previously voted on this question on May 23, 2013. Those earlier results can be found <a href=""http://www.igmchicago.org/igm-economic-experts-panel/poll-results?SurveyID=SV_1ZmH6tDwTR0BRu5"">here</a>.)","Tuesday, September 9th, 2014 7:48 am",1,"Because the US has underspent on new projects, maintenance, or both, the federal government has an opportunity to increase average incomes by spending more on roads, railways, bridges and airports. (The experts panel previously voted on this question on May 23, 2013. Those earlier results can be found <a href=""http://www.igmchicago.org/igm-economic-experts-panel/poll-results?SurveyID=SV_1ZmH6tDwTR0BRu5"">here</a>.)",95
"165","Infrastructure (revisited)","Because the US has underspent on new projects, maintenance, or both, the federal government has an opportunity to increase average incomes by spending more on roads, railways, bridges and airports. (The experts panel previously voted on this question on May 23, 2013. Those earlier results can be found <a href=""http://www.igmchicago.org/igm-economic-experts-panel/poll-results?SurveyID=SV_1ZmH6tDwTR0BRu5"">here</a>.)","Tuesday, September 9th, 2014 7:48 am",1,"Past experience of public spending and political economy suggests that if the government spent more on roads, railways, bridges and airports, many of the projects would have low or negative returns. (The experts panel previously voted on this question on May 23, 2013. Those earlier results can be found <a href=""http://www.igmchicago.org/igm-economic-experts-panel/poll-results?SurveyID=SV_1ZmH6tDwTR0BRu5"">here</a>.)",96
"166","Infrastructure (revisited)","Past experience of public spending and political economy suggests that if the government spent more on roads, railways, bridges and airports, many of the projects would have low or negative returns. (The experts panel previously voted on this question on May 23, 2013. Those earlier results can be found <a href=""http://www.igmchicago.org/igm-economic-experts-panel/poll-results?SurveyID=SV_1ZmH6tDwTR0BRu5"">here</a>.)","Tuesday, September 9th, 2014 7:48 am",2,"Because the US has underspent on new projects, maintenance, or both, the federal government has an opportunity to increase average incomes by spending more on roads, railways, bridges and airports. (The experts panel previously voted on this question on May 23, 2013. Those earlier results can be found <a href=""http://www.igmchicago.org/igm-economic-experts-panel/poll-results?SurveyID=SV_1ZmH6tDwTR0BRu5"">here</a>.)",95
"167","Infrastructure (revisited)","Past experience of public spending and political economy suggests that if the government spent more on roads, railways, bridges and airports, many of the projects would have low or negative returns. (The experts panel previously voted on this question on May 23, 2013. Those earlier results can be found <a href=""http://www.igmchicago.org/igm-economic-experts-panel/poll-results?SurveyID=SV_1ZmH6tDwTR0BRu5"">here</a>.)","Tuesday, September 9th, 2014 7:48 am",2,"Past experience of public spending and political economy suggests that if the government spent more on roads, railways, bridges and airports, many of the projects would have low or negative returns. (The experts panel previously voted on this question on May 23, 2013. Those earlier results can be found <a href=""http://www.igmchicago.org/igm-economic-experts-panel/poll-results?SurveyID=SV_1ZmH6tDwTR0BRu5"">here</a>.)",96
"168","U.S. State Budgets (revisited)","By discounting pension liabilities at high interest rates under government accounting standards, many U.S. state and local governments understate their pension liabilities and the costs of providing pensions to public-sector workers.<U+00A0>(The experts panel previously voted on this question on October 1, 2012. Those earlier results can be found <a href=""http://www.igmchicago.org/igm-economic-experts-panel/poll-results?SurveyID=SV_87dlrlXQvZkFB1r"">here</a>.)","Tuesday, August 26th, 2014 2:24 pm",1,"By discounting pension liabilities at high interest rates under government accounting standards, many U.S. state and local governments understate their pension liabilities and the costs of providing pensions to public-sector workers.<U+00A0>(The experts panel previously voted on this question on October 1, 2012. Those earlier results can be found <a href=""http://www.igmchicago.org/igm-economic-experts-panel/poll-results?SurveyID=SV_87dlrlXQvZkFB1r"">here</a>.)",97
"169","U.S. State Budgets (revisited)","By discounting pension liabilities at high interest rates under government accounting standards, many U.S. state and local governments understate their pension liabilities and the costs of providing pensions to public-sector workers.<U+00A0>(The experts panel previously voted on this question on October 1, 2012. Those earlier results can be found <a href=""http://www.igmchicago.org/igm-economic-experts-panel/poll-results?SurveyID=SV_87dlrlXQvZkFB1r"">here</a>.)","Tuesday, August 26th, 2014 2:24 pm",1,"During the next two decades some U.S. states, unless they substantially increase taxes, cut spending, and/or change public-sector pensions, will require a combination of severe austerity budgets, a federal bailout, and/or default.<U+00A0>(The experts panel previously voted on this question on October 1, 2012. Those earlier results can be found <a href=""http://www.igmchicago.org/igm-economic-experts-panel/poll-results?SurveyID=SV_87dlrlXQvZkFB1r"">here</a>.)",98
"170","U.S. State Budgets (revisited)","During the next two decades some U.S. states, unless they substantially increase taxes, cut spending, and/or change public-sector pensions, will require a combination of severe austerity budgets, a federal bailout, and/or default.<U+00A0>(The experts panel previously voted on this question on October 1, 2012. Those earlier results can be found <a href=""http://www.igmchicago.org/igm-economic-experts-panel/poll-results?SurveyID=SV_87dlrlXQvZkFB1r"">here</a>.)","Tuesday, August 26th, 2014 2:24 pm",2,"By discounting pension liabilities at high interest rates under government accounting standards, many U.S. state and local governments understate their pension liabilities and the costs of providing pensions to public-sector workers.<U+00A0>(The experts panel previously voted on this question on October 1, 2012. Those earlier results can be found <a href=""http://www.igmchicago.org/igm-economic-experts-panel/poll-results?SurveyID=SV_87dlrlXQvZkFB1r"">here</a>.)",97
"171","U.S. State Budgets (revisited)","During the next two decades some U.S. states, unless they substantially increase taxes, cut spending, and/or change public-sector pensions, will require a combination of severe austerity budgets, a federal bailout, and/or default.<U+00A0>(The experts panel previously voted on this question on October 1, 2012. Those earlier results can be found <a href=""http://www.igmchicago.org/igm-economic-experts-panel/poll-results?SurveyID=SV_87dlrlXQvZkFB1r"">here</a>.)","Tuesday, August 26th, 2014 2:24 pm",2,"During the next two decades some U.S. states, unless they substantially increase taxes, cut spending, and/or change public-sector pensions, will require a combination of severe austerity budgets, a federal bailout, and/or default.<U+00A0>(The experts panel previously voted on this question on October 1, 2012. Those earlier results can be found <a href=""http://www.igmchicago.org/igm-economic-experts-panel/poll-results?SurveyID=SV_87dlrlXQvZkFB1r"">here</a>.)",98
"172","Fracking (revisited)","New technology for fracking natural gas, by lowering energy costs in the United States, will make US industrial firms more cost competitive and thus significantly stimulate the growth of US merchandise exports.<U+00A0>(The experts panel previously voted on this question on May 23, 2012. Those earlier results can be found<U+00A0><a href=""http://www.igmchicago.org/igm-economic-experts-panel/poll-results?SurveyID=SV_6nAG1W7VnEmpJ5O"" target=""_blank"">here</a>.)","Tuesday, August 12th, 2014 11:21 am",1,"New technology for fracking natural gas, by lowering energy costs in the United States, will make US industrial firms more cost competitive and thus significantly stimulate the growth of US merchandise exports.<U+00A0>(The experts panel previously voted on this question on May 23, 2012. Those earlier results can be found<U+00A0><a href=""http://www.igmchicago.org/igm-economic-experts-panel/poll-results?SurveyID=SV_6nAG1W7VnEmpJ5O"" target=""_blank"">here</a>.)",99
"173","Economic Stimulus (revisited)","Because of the American Recovery and Reinvestment Act of 2009, the U.S. unemployment rate was lower at the end of 2010 than it would have been without the stimulus bill. (The experts panel previously voted on this question on February 15, 2012. Those earlier results can be found <a href=""http://www.igmchicago.org/igm-economic-experts-panel/poll-results?SurveyID=SV_cw5O9LNJL1oz4Xi"" target=""_blank"">here</a>.)","Tuesday, July 29th, 2014 12:03 pm",1,"Because of the American Recovery and Reinvestment Act of 2009, the U.S. unemployment rate was lower at the end of 2010 than it would have been without the stimulus bill. (The experts panel previously voted on this question on February 15, 2012. Those earlier results can be found <a href=""http://www.igmchicago.org/igm-economic-experts-panel/poll-results?SurveyID=SV_cw5O9LNJL1oz4Xi"" target=""_blank"">here</a>.)",100
"174","Economic Stimulus (revisited)","Because of the American Recovery and Reinvestment Act of 2009, the U.S. unemployment rate was lower at the end of 2010 than it would have been without the stimulus bill. (The experts panel previously voted on this question on February 15, 2012. Those earlier results can be found <a href=""http://www.igmchicago.org/igm-economic-experts-panel/poll-results?SurveyID=SV_cw5O9LNJL1oz4Xi"" target=""_blank"">here</a>.)","Tuesday, July 29th, 2014 12:03 pm",1,"Taking into account all of the ARRA¡¯s economic consequences <U+2014> including the economic costs of raising taxes to pay for the spending, its effects on future spending, and any other likely future effects <U+2014> the benefits of the stimulus will end up exceeding its costs.<U+00A0>(The experts panel previously voted on this question on<U+00A0>February 15, 2012. Those earlier results can be found here.)",101
"175","Economic Stimulus (revisited)","Taking into account all of the ARRA¡¯s economic consequences <U+2014> including the economic costs of raising taxes to pay for the spending, its effects on future spending, and any other likely future effects <U+2014> the benefits of the stimulus will end up exceeding its costs.<U+00A0>(The experts panel previously voted on this question on<U+00A0>February 15, 2012. Those earlier results can be found here.)","Tuesday, July 29th, 2014 12:03 pm",2,"Because of the American Recovery and Reinvestment Act of 2009, the U.S. unemployment rate was lower at the end of 2010 than it would have been without the stimulus bill. (The experts panel previously voted on this question on February 15, 2012. Those earlier results can be found <a href=""http://www.igmchicago.org/igm-economic-experts-panel/poll-results?SurveyID=SV_cw5O9LNJL1oz4Xi"" target=""_blank"">here</a>.)",100
